Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Type of Issuer,Use of Proceed,Principal Currency,1985,1986,1987,1990,1991,1992,1993,1994,1999,2000,2002,2003,2004,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ireland,IE,IRL,Sovereign Green Bond Issuances,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,7.263797,,,,
Israel,IL,ISR,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Italy,IT,ITA,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,0.0481737,0.0261028,,,,,,,,,,,0.5453959,,0.397764,1.784517,2.127103,6.153104,6.171103,23.6191,19.03811
Italy,IT,ITA,Sovereign Green Bond Issuances,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31951,8.485633
Japan,JP,JPN,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,0.269824,0.8237888,1.073421,1.354258,3.819505,7.269915,8.098198,16.06945,22.97434
Jersey,JE,JEY,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,1.060704,0.115,0.3712464,
"Korea, Rep. of",KR,KOR,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,0.5,,,1.4,0.3778532,3.791831,7.938034,3.741888,25.59142,16.30687
"Korea, Rep. of",KR,KOR,Sovereign Green Bond Issuances,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.7424929,
Lao People's Dem. Rep.,LA,LAO,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2461845
Latvia,LV,LVA,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,0.1054596,0.0263649,0.0212141,,,,0.1584948,0.1060704
