Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Global Warming,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIW,Implicit; Global Warming,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Global Warming",Percent of GDP,2.30363971412295,2.1753453749661,2.44811786970443,3.37973919204993,3.79306383261844,3.7829617135869,3.9594271802935,4.30902941399621,4.786672059998,4.79234400569033,4.9461851552361,5.08478973245483,5.21304081062194,5.320410207647,5.42856346710592,5.5372632874114
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Global Warming,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIW,Implicit; Global Warming,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Global Warming",USD at constant 2021 prices,522406611.2,438821466.8,507853682.2,667296202.9,778184975.9,757878549.7,793231641.3,863270952.8,958961880.5,960098198.1,990918734.0,1018686775.0,1044380596.0,1065890981.0,1087558405.0,1109335327.0
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Local Air Pollution,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIL,Implicit; Local Air Pollution,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Local Air Pollution",Percent of GDP,0.720635490113445,0.668417564821205,0.745576189204306,0.983654733603901,1.11275948674205,1.22692499051612,1.32152842367974,1.4936119551762,1.68976736697614,1.76127832934012,1.87991656334232,1.9979280118798,2.11845822302086,2.23084753369272,2.35225350853549,2.47940687631027
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Local Air Pollution,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIL,Implicit; Local Air Pollution,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Local Air Pollution",USD at constant 2021 prices,163421711.3,134836509.0,154667231.4,194212935.2,228293736.3,245802152.6,264755004.4,299230219.1,338527994.3,352854500.5,376622484.3,400264897.9,424411920.4,446927994.9,471250467.9,496724373.6
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Natural Gas,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIN,Implicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Natural Gas",Percent of GDP,0.0,0.0,0.0,0.0,0.0777035380678495,0.0773231406608765,0.0831557551163023,0.0771056303284417,0.120706413047819,0.123175783268444,0.131612842966956,0.140971494309674,0.147124319956075,0.152066446790456,0.15612312982929,0.160202564190876
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Natural Gas,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIN,Implicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Natural Gas",USD at constant 2021 prices,0.0,0.0,0.0,0.0,15941657.87,15490918.0,16659423.98,15447341.98,24182322.79,24677036.42,26367316.96,28242229.17,29474886.26,30464991.95,31277707.83,32094981.71
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Petroleum,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIP,Implicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Petroleum",Percent of GDP,2.75255142794923,2.09687254884855,2.15994452077282,3.41929884199286,4.04082616250731,4.0468004831786,5.49053309374064,6.29052135369871,6.00933067784766,5.84679039632625,6.01025710292503,6.17848376260357,6.34986825895977,6.47812410402316,6.62408063292403,6.7765309673555
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Petroleum,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIP,Implicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Petroleum",USD at constant 2021 prices,624208314.7,422991538.8,448073106.2,675106866.0,829015895.5,810736008.8,1099973400.0,1260243048.0,1203909308.0,1171345988.0,1204094908.0,1237797437.0,1272132607.0,1297827383.0,1327068314.0,1357610214.0
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Road damage,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIR,Implicit; Road Damage,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Road Damage",Percent of GDP,0.0561090608648844,0.0436402015027355,0.0498852179444282,0.0633819891250385,0.0844150718951062,0.0844239845762204,0.0933938974243786,0.0980635922931017,0.102966771887791,0.108115110512129,0.113520866027753,0.119196909304183,0.125045108465608,0.128017471548368,0.132391189877209,0.13710997224718
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Road damage,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIR,Implicit; Road Damage,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Road Damage",USD at constant 2021 prices,12724100.98,8803318.064,10348517.91,12514149.25,17318596.15,16913501.07,18710533.41,19646060.08,20628363.08,21659781.24,22742770.3,23879908.81,25051537.03,25647020.25,26523250.98,27468611.84
