Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,2015,2016,2017,2018,2019,2020,2021
Algeria,DZ,DZA,"Vulnerability score, Sensitivity",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.275431374,0.276355708,0.281196072,0.280657641,0.279778998,0.278598193,0.278942771
Algeria,DZ,DZA,"Vulnerability score, Water",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.319422156,0.323897983,0.331860158,0.33321803,0.334643115,0.336088214,0.336088214
"Andorra, Principality of",AD,AND,IMF-Adapted Readiness score,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.63902804,0.649332013,0.659946542,0.661454934,0.687900412,0.684097399,0.686101855
"Andorra, Principality of",AD,AND,"Readiness score, IMF-Adapted Economic",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.886418055,0.901210703,0.91761972,0.918593905,0.911244664,0.893460734,0.893488744
"Andorra, Principality of",AD,AND,"Readiness score, Social",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.391638024,0.397453324,0.402273365,0.404315963,0.46455616,0.474734065,0.478714965
"Andorra, Principality of",AD,AND,"Vulnerability score, Exposure",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.24701918,0.24701918,0.24701918,0.24701918,0.24701918,0.24701918,0.24701918
"Andorra, Principality of",AD,AND,"Vulnerability score, Food",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.226363816,0.226713185,0.224159496,0.221541984,0.223854935,0.213594002,0.218464458
"Andorra, Principality of",AD,AND,"Vulnerability score, Habitat",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.465112921,0.46493121,0.463253366,0.461289496,0.460505779,0.460416817,0.460768656
"Andorra, Principality of",AD,AND,"Vulnerability score, Heath",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.356189653,0.356189659,0.35618965,0.356189647,0.356189647,0.356189647,0.356189647
Angola,AO,AGO,IMF-Adapted ND-GAIN Index,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.381541046,0.379813973,0.378057294,0.380199003,0.380071576,0.377973657,0.384210963
Angola,AO,AGO,IMF-Adapted Readiness score,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.264829633,0.263556002,0.262744571,0.271014291,0.270076224,0.267995254,0.27834566
