Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.56803,14.79785,15.00116,15.27619,15.49868,15.66978,15.80454
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.5804,14.81076,15.04923,15.28236,15.51247,15.73506,15.93786
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.56781,14.79216,15.00911,15.22528,15.39613,15.51927,15.55172
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.58067,14.81725,15.0618,15.2917,15.52146,15.75099,15.97434
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.56902,14.82102,15.06406,15.27815,15.4339,15.53528,15.53766
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.54803,14.81111,15.06269,15.28281,15.45294,15.58408,15.71907
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.5599,14.81732,15.03528,15.26387,15.5113,15.74892,15.98249
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.54784,14.80381,14.98815,15.27777,15.50603,15.65128,15.78833
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.55999,14.8168,15.03608,15.30898,15.55475,15.76182,15.93362
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.54805,14.81338,15.11217,15.31231,15.43225,15.5011,15.5492
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.56019,14.82143,15.04455,15.26862,15.50282,15.70695,15.89892
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.54805,14.8125,15.08118,15.26306,15.35761,15.42192,15.47307
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.55420546,14.800164,14.98360281,15.20852584,15.38387894,15.50559485,15.61284845
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.55420546,14.80901393,15.00930356,15.25188027,15.48223069,15.73416273,15.98922629
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.55420546,14.80901393,15.00930356,15.2052819,15.42744961,15.5644646,15.66406606
Albania,AL,ALB,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.55420546,14.80901393,15.00930356,15.2481589,15.48028559,15.70592347,15.89848563
